"county","votes","type","name","race"
"Lowndes","7058","Election Day","BRIAN KEMP  (REP)","Governor"
"Lumpkin","2912","Election Day","BRIAN KEMP  (REP)","Governor"
"Macon","480","Election Day","BRIAN KEMP  (REP)","Governor"
"Madison","4596","Election Day","BRIAN KEMP  (REP)","Governor"
"Marion","1030","Election Day","BRIAN KEMP  (REP)","Governor"
"McDuffie","1738","Election Day","BRIAN KEMP  (REP)","Governor"
"McIntosh","1203","Election Day","BRIAN KEMP  (REP)","Governor"
"Meriwether","3158","Election Day","BRIAN KEMP  (REP)","Governor"
"Miller","812","Election Day","BRIAN KEMP  (REP)","Governor"
"Mitchell","2122","Election Day","BRIAN KEMP  (REP)","Governor"
"Monroe","4516","Election Day","BRIAN KEMP  (REP)","Governor"
"Montgomery","1485","Election Day","BRIAN KEMP  (REP)","Governor"
"Morgan","2747","Election Day","BRIAN KEMP  (REP)","Governor"
"Murray","4870","Election Day","BRIAN KEMP  (REP)","Governor"
"Muscogee","13781","Election Day","BRIAN KEMP  (REP)","Governor"
"Newton","10760","Election Day","BRIAN KEMP  (REP)","Governor"
"Oconee","5802","Election Day","BRIAN KEMP  (REP)","Governor"
"Oglethorpe","1790","Election Day","BRIAN KEMP  (REP)","Governor"
"Paulding","16656","Election Day","BRIAN KEMP  (REP)","Governor"
"Peach","1620","Election Day","BRIAN KEMP  (REP)","Governor"
"Pickens","5090","Election Day","BRIAN KEMP  (REP)","Governor"
"Pierce","1664","Election Day","BRIAN KEMP  (REP)","Governor"
"Pike","3244","Election Day","BRIAN KEMP  (REP)","Governor"
"Polk","3651","Election Day","BRIAN KEMP  (REP)","Governor"
"Pulaski","495","Election Day","BRIAN KEMP  (REP)","Governor"
"Putnam","2785","Election Day","BRIAN KEMP  (REP)","Governor"
"Quitman","217","Election Day","BRIAN KEMP  (REP)","Governor"
"Rabun","1489","Election Day","BRIAN KEMP  (REP)","Governor"
"Randolph","595","Election Day","BRIAN KEMP  (REP)","Governor"
"Richmond","13178","Election Day","BRIAN KEMP  (REP)","Governor"
"Rockdale","3998","Election Day","BRIAN KEMP  (REP)","Governor"
"Schley","395","Election Day","BRIAN KEMP  (REP)","Governor"
"Screven","1406","Election Day","BRIAN KEMP  (REP)","Governor"
"Seminole","1279","Election Day","BRIAN KEMP  (REP)","Governor"
"Spalding","6196","Election Day","BRIAN KEMP  (REP)","Governor"
"Stephens","1814","Election Day","BRIAN KEMP  (REP)","Governor"
"Stewart","329","Election Day","BRIAN KEMP  (REP)","Governor"
"Sumter","2272","Election Day","BRIAN KEMP  (REP)","Governor"
"Talbot","765","Election Day","BRIAN KEMP  (REP)","Governor"
"Taliaferro","133","Election Day","BRIAN KEMP  (REP)","Governor"
"Tattnall","2025","Election Day","BRIAN KEMP  (REP)","Governor"
"Taylor","577","Election Day","BRIAN KEMP  (REP)","Governor"
"Telfair","1063","Election Day","BRIAN KEMP  (REP)","Governor"
"Terrell","928","Election Day","BRIAN KEMP  (REP)","Governor"
"Thomas","4966","Election Day","BRIAN KEMP  (REP)","Governor"
"Tift","3521","Election Day","BRIAN KEMP  (REP)","Governor"
"Toombs","2351","Election Day","BRIAN KEMP  (REP)","Governor"
"Towns","1506","Election Day","BRIAN KEMP  (REP)","Governor"
"Treutlen","552","Election Day","BRIAN KEMP  (REP)","Governor"
"Troup","6709","Election Day","BRIAN KEMP  (REP)","Governor"
"Turner","629","Election Day","BRIAN KEMP  (REP)","Governor"
"Twiggs","1177","Election Day","BRIAN KEMP  (REP)","Governor"
"Union","4081","Election Day","BRIAN KEMP  (REP)","Governor"
"Upson","2036","Election Day","BRIAN KEMP  (REP)","Governor"
"Walker","7585","Election Day","BRIAN KEMP  (REP)","Governor"
"Walton","17480","Election Day","BRIAN KEMP  (REP)","Governor"
"Ware","3730","Election Day","BRIAN KEMP  (REP)","Governor"
"Warren","302","Election Day","BRIAN KEMP  (REP)","Governor"
"Washington","1659","Election Day","BRIAN KEMP  (REP)","Governor"
"Wayne","2977","Election Day","BRIAN KEMP  (REP)","Governor"
"Webster","184","Election Day","BRIAN KEMP  (REP)","Governor"
"Wheeler","569","Election Day","BRIAN KEMP  (REP)","Governor"
"White","4719","Election Day","BRIAN KEMP  (REP)","Governor"
"Whitfield","12045","Election Day","BRIAN KEMP  (REP)","Governor"
"Wilcox","990","Election Day","BRIAN KEMP  (REP)","Governor"
"Wilkes","1132","Election Day","BRIAN KEMP  (REP)","Governor"
"Wilkinson","1526","Election Day","BRIAN KEMP  (REP)","Governor"
"Worth","3449","Election Day","BRIAN KEMP  (REP)","Governor"
"Appling","357","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Atkinson","45","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Bacon","127","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Baker","60","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Baldwin","336","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Banks","178","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Barrow","687","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Bartow","971","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Ben Hill","89","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Berrien","224","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Bibb","1184","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Bleckley","142","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Brantley","150","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Brooks","100","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Bryan","232","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Bulloch","525","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Burke","242","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Butts","203","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Calhoun","36","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Camden","508","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Candler","58","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Carroll","810","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Catoosa","367","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Charlton","101","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Chatham","1602","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Chattahoochee","15","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Chattooga","141","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Cherokee","3168","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Clarke","912","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Clay","42","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Clayton","745","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Clinch","52","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Cobb","9824","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Coffee","180","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Colquitt","255","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Columbia","1304","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Cook","116","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Coweta","1501","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Crawford","126","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Crisp","192","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Dade","84","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Dawson","319","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Decatur","181","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"DeKalb","2870","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Dodge","262","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Dooly","60","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Dougherty","360","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Douglas","978","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Early","223","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Echols","28","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Effingham","419","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Elbert","235","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Emanuel","227","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Evans","119","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Fannin","472","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Fayette","1086","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Floyd","653","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Forsyth","2420","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Franklin","296","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Fulton","4696","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Gilmer","413","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Glascock","71","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Glynn","781","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Gordon","365","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Grady","163","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Greene","215","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Gwinnett","7725","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Habersham","655","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Hall","2056","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Hancock","51","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Haralson","290","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Harris","409","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Hart","225","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Heard","207","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Henry","1490","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Houston","1228","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Irwin","67","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Jackson","689","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Jasper","250","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Jeff Davis","158","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Jefferson","145","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Jenkins","74","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Johnson","138","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Jones","376","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Lamar","179","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Lanier","60","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Laurens","665","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Lee","240","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Liberty","181","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Lincoln","116","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Long","40","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Lowndes","625","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Lumpkin","291","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Macon","55","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Madison","345","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Marion","62","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"McDuffie","375","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"McIntosh","183","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Meriwether","170","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Miller","88","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Mitchell","156","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Monroe","298","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Montgomery","113","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Morgan","173","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Murray","168","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Muscogee","1182","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Newton","742","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Oconee","517","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Oglethorpe","293","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Paulding","1870","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Peach","143","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Pickens","169","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Pierce","257","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Pike","201","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Polk","271","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Pulaski","122","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Putnam","340","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Quitman","31","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Rabun","626","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Randolph","43","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Richmond","1174","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Rockdale","448","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Schley","43","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Screven","94","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Seminole","89","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Spalding","523","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Stephens","362","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Stewart","69","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Sumter","210","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Talbot","47","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Taliaferro","31","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Tattnall","247","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Taylor","101","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Telfair","114","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Terrell","95","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Thomas","368","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Tift","276","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Toombs","324","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Towns","199","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Treutlen","75","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Troup","557","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Turner","52","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Twiggs","68","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Union","337","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Upson","245","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Walker","560","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Walton","1086","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Ware","329","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Warren","65","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Washington","232","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Wayne","338","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Webster","71","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Wheeler","66","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"White","421","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Whitfield","605","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Wilcox","149","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Wilkes","90","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Wilkinson","76","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Worth","145","Absentee by Mail","BRIAN KEMP  (REP)","Governor"
"Appling","2735","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Atkinson","1022","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Bacon","2585","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Baker","284","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Baldwin","4345","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Banks","2500","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Barrow","9195","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Bartow","12305","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Ben Hill","2518","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Berrien","2788","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Bibb","7971","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Bleckley","2332","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Brantley","2640","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Brooks","1602","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Bryan","6009","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Bulloch","6677","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Burke","1858","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Butts","4743","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Calhoun","344","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Camden","5362","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Candler","1815","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Carroll","13782","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Catoosa","11008","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Charlton","1182","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Chatham","11311","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Chattahoochee","249","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Chattooga","2755","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Cherokee","35858","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Clarke","4822","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Clay","338","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Clayton","5720","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Clinch","1025","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Cobb","44272","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Coffee","5794","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Colquitt","4739","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Columbia","19905","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Cook","2375","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Coweta","17799","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Crawford","1873","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Crisp","2824","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Dade","2141","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Dawson","6122","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Decatur","2839","Advance in Person","BRIAN KEMP  (REP)","Governor"
"DeKalb","19448","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Dodge","2596","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Dooly","1180","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Dougherty","2773","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Douglas","12122","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Early","995","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Echols","690","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Effingham","8518","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Elbert","2697","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Emanuel","2557","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Evans","1618","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Fannin","4302","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Fayette","17250","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Floyd","9701","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Forsyth","38510","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Franklin","3124","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Fulton","58769","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Gilmer","5221","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Glascock","629","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Glynn","11309","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Gordon","6686","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Grady","2617","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Greene","4097","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Gwinnett","55468","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Habersham","8526","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Hall","17919","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Hancock","446","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Haralson","3724","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Harris","5396","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Hart","4130","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Heard","1183","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Henry","24505","Advance in Person","BRIAN KEMP  (REP)","Governor"
